ColonyID;Colour;InfectionStatus
C_1;BB;uninfected
C_1;BG;uninfected
C_1;BR;uninfected
C_1;GG;uninfected
C_1;GR;uninfected
C_1;RB;uninfected
C_1;RG;uninfected
C_1;RR;uninfected
C_10;BB;uninfected
C_10;BG;uninfected
C_10;BR;uninfected
C_10;GG;uninfected
C_10;GR;uninfected
C_10;RB;uninfected
C_10;RG;uninfected
C_10;RR;uninfected
C_2;BB;uninfected
C_2;BG;uninfected
C_2;BR;uninfected
C_2;GG;uninfected
C_2;GR;uninfected
C_2;RB;uninfected
C_2;RG;uninfected
C_2;RR;uninfected
C_3;BB;uninfected
C_3;BG;uninfected
C_3;BR;uninfected
C_3;GG;uninfected
C_3;GR;uninfected
C_3;RB;uninfected
C_3;RG;uninfected
C_3;RR;uninfected
C_4;BB;uninfected
C_4;BG;uninfected
C_4;BR;uninfected
C_4;GG;uninfected
C_4;GR;uninfected
C_4;RB;uninfected
C_4;RG;uninfected
C_4;RR;uninfected
C_5;BB;uninfected
C_5;BG;uninfected
C_5;BR;uninfected
C_5;GG;uninfected
C_5;GR;uninfected
C_5;RB;uninfected
C_5;RG;uninfected
C_5;RR;uninfected
C_6;BB;uninfected
C_6;BG;uninfected
C_6;BR;uninfected
C_6;GG;uninfected
C_6;GR;uninfected
C_6;RB;uninfected
C_6;RG;uninfected
C_6;RR;uninfected
C_7;BB;uninfected
C_7;BG;uninfected
C_7;BR;uninfected
C_7;GG;uninfected
C_7;GR;uninfected
C_7;RB;uninfected
C_7;RG;uninfected
C_7;RR;uninfected
C_8;BB;uninfected
C_8;BG;uninfected
C_8;BR;uninfected
C_8;GG;uninfected
C_8;GR;uninfected
C_8;RB;uninfected
C_8;RG;uninfected
C_8;RR;uninfected
C_9;BB;uninfected
C_9;BG;uninfected
C_9;BR;uninfected
C_9;GG;uninfected
C_9;GR;uninfected
C_9;RB;uninfected
C_9;RG;uninfected
C_9;RR;uninfected
T_1;BB;infected
T_1;BG;infected
T_1;BR;infected
T_1;GG;infected
T_1;GR;infected
T_1;RB;infected
T_1;RG;infected
T_1;RR;infected
T_10;BB;infected
T_10;BG;infected
T_10;BR;infected
T_10;GG;infected
T_10;GR;infected
T_10;RB;infected
T_10;RG;infected
T_10;RR;infected
T_2;BB;infected
T_2;BG;infected
T_2;BR;infected
T_2;GG;infected
T_2;GR;infected
T_2;RB;infected
T_2;RG;infected
T_2;RR;infected
T_3;BB;infected
T_3;BG;infected
T_3;BR;infected
T_3;GG;infected
T_3;GR;infected
T_3;RB;infected
T_3;RG;infected
T_3;RR;infected
T_4;BB;infected
T_4;BG;infected
T_4;BR;infected
T_4;GG;infected
T_4;GR;infected
T_4;RB;infected
T_4;RG;infected
T_4;RR;infected
T_5;BB;infected
T_5;BG;infected
T_5;BR;infected
T_5;GG;infected
T_5;GR;infected
T_5;RB;infected
T_5;RG;infected
T_5;RR;infected
T_6;BB;infected
T_6;BG;infected
T_6;BR;infected
T_6;GG;infected
T_6;GR;infected
T_6;RB;infected
T_6;RG;infected
T_6;RR;infected
T_7;BB;infected
T_7;BG;infected
T_7;BR;infected
T_7;GG;infected
T_7;GR;infected
T_7;RB;infected
T_7;RG;infected
T_7;RR;infected
T_8;BB;infected
T_8;BG;infected
T_8;BR;infected
T_8;GG;infected
T_8;GR;infected
T_8;RB;infected
T_8;RG;infected
T_8;RR;infected
T_9;BB;infected
T_9;BG;infected
T_9;BR;infected
T_9;GG;infected
T_9;GR;infected
T_9;RB;infected
T_9;RG;infected
T_9;RR;infected
X_1;BB;infected
X_1;BG;uninfected
X_1;BR;uninfected
X_1;GG;infected
X_1;GR;infected
X_1;RB;uninfected
X_1;RG;uninfected
X_1;RR;infected
X_10;BB;uninfected
X_10;BG;infected
X_10;BR;infected
X_10;GG;uninfected
X_10;GR;infected
X_10;RB;infected
X_10;RG;uninfected
X_10;RR;uninfected
X_2;BB;infected
X_2;BG;uninfected
X_2;BR;uninfected
X_2;GG;infected
X_2;GR;infected
X_2;RB;uninfected
X_2;RG;uninfected
X_2;RR;infected
X_3;BB;uninfected
X_3;BG;infected
X_3;BR;infected
X_3;GG;uninfected
X_3;GR;infected
X_3;RB;infected
X_3;RG;uninfected
X_3;RR;uninfected
X_4;BB;uninfected
X_4;BG;infected
X_4;BR;infected
X_4;GG;uninfected
X_4;GR;infected
X_4;RB;infected
X_4;RG;uninfected
X_4;RR;uninfected
X_5;BB;infected
X_5;BG;uninfected
X_5;BR;uninfected
X_5;GG;infected
X_5;GR;infected
X_5;RB;uninfected
X_5;RG;uninfected
X_5;RR;infected
X_6;BB;infected
X_6;BG;uninfected
X_6;BR;uninfected
X_6;GG;infected
X_6;GR;infected
X_6;RB;uninfected
X_6;RG;uninfected
X_6;RR;infected
X_7;BB;infected
X_7;BG;uninfected
X_7;BR;uninfected
X_7;GG;infected
X_7;GR;infected
X_7;RB;uninfected
X_7;RG;uninfected
X_7;RR;infected
X_8;BB;uninfected
X_8;BG;infected
X_8;BR;infected
X_8;GG;uninfected
X_8;GR;infected
X_8;RB;infected
X_8;RG;uninfected
X_8;RR;uninfected
X_9;BB;uninfected
X_9;BG;infected
X_9;BR;infected
X_9;GG;uninfected
X_9;GR;infected
X_9;RB;infected
X_9;RG;uninfected
X_9;RR;uninfected
