Colour,ColonyID,Treatment,AssignmentRate,InNestFrame,TotalFrame,InNestRatio,OutNestFrame,OutNestRatio,InfectionStatus,ColonyTreatmentAntInfectionStatus
BB,C_1,C,0.790753472222222,1243352,1352415,0.919356854220043,109063,0.0806431457799566,uninfected,C_uninfected
BG,C_1,C,0.8276875,1091224,1415683,0.770810979576642,324459,0.229189020423358,uninfected,C_uninfected
BR,C_1,C,0.742136574074074,1227135,1268971,0.96703155548866,41836,0.0329684445113403,uninfected,C_uninfected
GG,C_1,C,0.729896990740741,1213436,1249290,0.971300498683252,35854,0.0286995013167479,uninfected,C_uninfected
GR,C_1,C,0.81218287037037,1171278,1387823,0.843967854690404,216545,0.156032145309596,uninfected,C_uninfected
RB,C_1,C,0.81887962962963,1242199,1404866,0.884211732649235,162667,0.115788267350765,uninfected,C_uninfected
RG,C_1,C,0.745956018518519,1228908,1276379,0.962808068763275,47471,0.0371919312367252,uninfected,C_uninfected
RR,C_1,C,0.734184027777778,1220268,1256698,0.971011332873928,36430,0.0289886671260716,uninfected,C_uninfected
BB,C_10,C,0.84897337962963,1285082,1455585,0.882862903918356,170503,0.117137096081644,uninfected,C_uninfected
BG,C_10,C,0.863378472222222,1231896,1480124,0.8322924295532,248228,0.1677075704468,uninfected,C_uninfected
BR,C_10,C,0.770671296296296,1134629,1320150,0.859469757224558,185521,0.140530242775442,uninfected,C_uninfected
GG,C_10,C,0.828601851851852,1102870,1420563,0.776361203269408,317693,0.223638796730592,uninfected,C_uninfected
GR,C_10,C,0.816763888888889,1075903,1399891,0.768561980897084,323988,0.231438019102916,uninfected,C_uninfected
RB,C_10,C,0.845024305555556,1312636,1448700,0.906078553185615,136064,0.0939214468143853,uninfected,C_uninfected
RG,C_10,C,0.827064814814815,1102808,1418059,0.777688375448412,315251,0.222311624551588,uninfected,C_uninfected
RR,C_10,C,0.824905092592593,1099955,1413928,0.777942724099105,313973,0.222057275900895,uninfected,C_uninfected
BB,C_4,C,0.825376157407407,1222402,1317970,0.927488486080867,95568,0.0725115139191332,uninfected,C_uninfected
BG,C_4,C,0.867685185185185,1184128,1248680,0.948303808822116,64552,0.0516961911778838,uninfected,C_uninfected
BR,C_4,C,0.866125,1122996,1197906,0.937465877957035,74910,0.0625341220429649,uninfected,C_uninfected
GG,C_4,C,0.848912037037037,1037066,1428524,0.725970302214033,391458,0.274029697785967,uninfected,C_uninfected
GR,C_4,C,0.877040509259259,1179830,1272958,0.92684126263396,93128,0.0731587373660404,uninfected,C_uninfected
RB,C_4,C,0.845797453703704,1086900,1273862,0.853232139745122,186962,0.146767860254878,uninfected,C_uninfected
RG,C_4,C,0.868578703703704,1109412,1324806,0.837414685621895,215394,0.162585314378105,uninfected,C_uninfected
RR,C_4,C,0.847523148148148,1151478,1183564,0.972890354894201,32086,0.0271096451057991,uninfected,C_uninfected
BB,C_5,C,0.744886574074074,1080006,1519958,0.710549896773463,439952,0.289450103226537,uninfected,C_uninfected
BG,C_5,C,0.787666666666667,1401914,1455472,0.963202315125265,53558,0.0367976848747348,uninfected,C_uninfected
BR,C_5,C,0.595380787037037,1317714,1442384,0.913566706230796,124670,0.0864332937692043,uninfected,C_uninfected
GG,C_5,C,0.707521990740741,1217822,1455880,0.83648514987499,238058,0.16351485012501,uninfected,C_uninfected
GR,C_5,C,0.701622685185185,1152260,1482706,0.777133160586118,330446,0.222866839413882,uninfected,C_uninfected
RB,C_5,C,0.695747685185185,1431698,1461002,0.979942532590647,29304,0.0200574674093533,uninfected,C_uninfected
RG,C_5,C,0.659310185185185,1195884,1374640,0.869961589943549,178756,0.130038410056451,uninfected,C_uninfected
RR,C_5,C,0.586673611111111,1348816,1454660,0.927237980009074,105844,0.0727620199909257,uninfected,C_uninfected
BB,C_6,C,0.811931712962963,1213868,1409431,0.861246843584397,195563,0.138753156415603,uninfected,C_uninfected
BG,C_6,C,0.803105324074074,1187380,1482651,0.800849289549597,295271,0.199150710450403,uninfected,C_uninfected
BR,C_6,C,0.8164375,1218174,1479810,0.823196221136497,261636,0.176803778863503,uninfected,C_uninfected
GG,C_6,C,0.840539351851852,1269824,1450106,0.875676674670679,180282,0.124323325329321,uninfected,C_uninfected
