camera,colonyCam,colony,antColour,antID,assignmentRate,rmsd,degreeCentrality
cam10,C1,5,BG,cam10_C1_5_BG,0.957701967592593,0.00501808864346846,12873672
cam10,C1,5,BO,cam10_C1_5_BO,0.961952546296296,0.00660899656314141,11224455
cam10,C1,5,GB,cam10_C1_5_GB,0.955884837962963,0.00532852786062755,12732923
cam10,C1,5,GP,cam10_C1_5_GP,0.954266782407407,0.00479442250910387,12331091
cam10,C1,5,OB,cam10_C1_5_OB,0.956753472222222,0.00545666655125906,12707788
cam10,C1,5,OG,cam10_C1_5_OG,0.954389467592593,0.00511926660182522,12646074
cam10,C1,5,OP,cam10_C1_5_OP,0.957802662037037,0.00570084941380151,12380637
cam10,C1,5,PB,cam10_C1_5_PB,0.973535300925926,0.0127449637012119,8534796
cam10,C1,5,PG,cam10_C1_5_PG,0.956850115740741,0.00502464870311565,12594482
cam10,C1,5,PO,cam10_C1_5_PO,0.957059027777778,0.00542894555975044,12449636
cam10,C2,6,BG,cam10_C2_6_BG,0.981617476851852,0.00192881957589631,13655082
cam10,C2,6,BO,cam10_C2_6_BO,0.979931712962963,0.00169515066191474,14021149
cam10,C2,6,GB,cam10_C2_6_GB,0.980226851851852,0.00156628790634093,14069678
cam10,C2,6,GP,cam10_C2_6_GP,0.980461226851852,0.0018413298938417,13879403
cam10,C2,6,OB,cam10_C2_6_OB,0.981685763888889,0.0020774390495445,13156277
cam10,C2,6,OG,cam10_C2_6_OG,0.985249421296296,0.00565827861932946,10850773
cam10,C2,6,OP,cam10_C2_6_OP,0.982362847222222,0.0019820867198622,12457267
cam10,C2,6,PB,cam10_C2_6_PB,0.98222974537037,0.00161497328573144,13945249
cam10,C2,6,PG,cam10_C2_6_PG,0.981271990740741,0.00174899542140222,14002256
cam10,C2,6,PO,cam10_C2_6_PO,0.980934027777778,0.00168627371416398,14152498
cam10,C3,7,BG,cam10_C3_7_BG,0.990157986111111,0.00109803807981298,14747795
cam10,C3,7,BO,cam10_C3_7_BO,0.990006365740741,0.000995800511370108,15040883
cam10,C3,7,GB,cam10_C3_7_GB,0.990121527777778,0.000910347183719486,15128698
cam10,C3,7,GP,cam10_C3_7_GP,0.990102430555556,0.000912595572890513,15046245
cam10,C3,7,OB,cam10_C3_7_OB,0.990112847222222,0.00103040412266356,14819015
cam10,C3,7,OG,cam10_C3_7_OG,0.992208912037037,0.000986483098497427,15018140
cam10,C3,7,OP,cam10_C3_7_OP,0.990219328703704,0.00116711566819146,14395239
