camera,colonyCam,colony,colour,startTime,deathTime,survivalEnd,minutesSurvival,minutesSurvivalForRanking
cam9,1,1,BG,09.03.22 16:50,20.03.22 17:18,Dead,15868,15868
cam9,1,1,BO,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,1,1,GB,09.03.22 16:50,17.03.22 13:16,Dead,11306,11306
cam9,1,1,GP,09.03.22 16:50,19.03.22 09:52,Dead,13982,13982
cam9,1,1,OB,09.03.22 16:50,15.03.22 13:39,Dead,8449,8449
cam9,1,1,OG,09.03.22 16:50,16.03.22 10:43,Dead,9713,9713
cam9,1,1,OP,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,1,1,PB,09.03.22 16:50,20.03.22 17:18,Dead,15868,15868
cam9,1,1,PG,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,1,1,PO,09.03.22 16:50,15.03.22 18:18,Dead,8728,8728
cam9,2,2,BG,09.03.22 16:50,14.03.22 10:47,Dead,6837,6837
cam9,2,2,BO,09.03.22 16:50,20.03.22 17:18,Dead,15868,15868
cam9,2,2,GB,09.03.22 16:50,14.03.22 12:41,Dead,6951,6951
cam9,2,2,GP,09.03.22 16:50,16.03.22 19:57,Dead,10267,10267
cam9,2,2,OB,09.03.22 16:50,21.03.22 15:24,Alive,NaN,18000
cam9,2,2,OG,09.03.22 16:50,19.03.22 09:52,Dead,13982,13982
cam9,2,2,OP,09.03.22 16:50,NaN,Not Sporulated,NaN,NaN
cam9,2,2,PB,09.03.22 16:50,16.03.22 15:33,Dead,10003,10003
cam9,2,2,PG,09.03.22 16:50,19.03.22 09:52,Dead,13982,13982
cam9,2,2,PO,09.03.22 16:50,18.03.22 12:19,Dead,12689,12689
cam9,3,3,BG,09.03.22 16:50,21.03.22 15:24,Alive,NaN,18000
cam9,3,3,BO,09.03.22 16:50,NaN,Missing,NaN,NaN
cam9,3,3,GB,09.03.22 16:50,16.03.22 10:43,Dead,9713,9713
cam9,3,3,GP,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,3,3,OB,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,3,3,OG,09.03.22 16:50,14.03.22 10:47,Dead,6837,6837
cam9,3,3,OP,09.03.22 16:50,16.03.22 10:43,Dead,9713,9713
cam9,3,3,PB,09.03.22 16:50,15.03.22 18:18,Dead,8728,8728
cam9,3,3,PG,09.03.22 16:50,15.03.22 13:39,Dead,8449,8449
cam9,3,3,PO,09.03.22 16:50,18.03.22 18:42,Dead,13072,13072
cam9,4,4,BG,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,4,4,BO,09.03.22 16:50,17.03.22 19:16,Dead,11666,11666
cam9,4,4,GB,09.03.22 16:50,14.03.22 10:47,Dead,6837,6837
cam9,4,4,GP,09.03.22 16:50,15.03.22 13:39,Dead,8449,8449
cam9,4,4,OB,09.03.22 16:50,13.03.22 16:00,Dead,5710,5710
cam9,4,4,OG,09.03.22 16:50,16.03.22 10:43,Dead,9713,9713
cam9,4,4,OP,09.03.22 16:50,16.03.22 10:43,Dead,9713,9713
cam9,4,4,PB,09.03.22 16:50,15.03.22 13:39,Dead,8449,8449
cam9,4,4,PG,09.03.22 16:50,15.03.22 18:18,Dead,8728,8728
cam9,4,4,PO,09.03.22 16:50,17.03.22 13:16,Dead,11306,11306
cam10,1,5,BG,09.03.22 16:50,17.03.22 13:16,Dead,11306,11306
cam10,1,5,BO,09.03.22 16:50,15.03.22 13:39,Dead,8449,8449
cam10,1,5,GB,09.03.22 16:50,21.03.22 10:22,Alive,NaN,18000
cam10,1,5,GP,09.03.22 16:50,17.03.22 13:16,Dead,11306,11306
cam10,1,5,OB,09.03.22 16:50,17.03.22 13:16,Dead,11306,11306
cam10,1,5,OG,09.03.22 16:50,21.03.22 10:22,Dead,16892,16892
