ColonyID,Colour,Day,InNestFrames,TotalFrames,Treatment,InfectionLoad,InfectionStatus,AssignmentRate,OutNestFrames,OutNestRatio
C_1,BB,1,114946,116900,C,0,uninfected,0.811805555555556,1954,0.0167151411462789
C_1,BG,1,75058,119864,C,0,uninfected,0.832388888888889,44806,0.373806981245411
C_1,BR,1,111674,115474,C,0,uninfected,0.801902777777778,3800,0.0329078407260509
C_1,GG,1,103329,103610,C,0,uninfected,0.719513888888889,281,0.00271209342727536
C_1,GR,1,78609,128488,C,0,uninfected,0.892277777777778,49879,0.388199676234357
C_1,RB,1,111139,114083,C,0,uninfected,0.792243055555556,2944,0.0258057729898407
C_1,RG,1,101249,103970,C,0,uninfected,0.722013888888889,2721,0.0261710108685198
C_1,RR,1,102447,103370,C,0,uninfected,0.717847222222222,923,0.00892908967785624
C_1,BB,2,74158,75161,C,0,uninfected,0.521951388888889,1003,0.0133446867391333
C_1,BG,2,36446,114402,C,0,uninfected,0.794458333333333,77956,0.681421653467597
C_1,BR,2,54859,56127,C,0,uninfected,0.389770833333333,1268,0.0225916225702425
C_1,GG,2,62083,62208,C,0,uninfected,0.432,125,0.0020093878600823
C_1,GR,2,67012,85471,C,0,uninfected,0.593548611111111,18459,0.215967989142516
C_1,RB,2,75573,97043,C,0,uninfected,0.673909722222222,21470,0.221242129777521
C_1,RG,2,63467,65809,C,0,uninfected,0.457006944444444,2342,0.0355878375298211
C_1,RR,2,62162,62455,C,0,uninfected,0.433715277777778,293,0.00469137779201025
C_1,BB,3,96133,106964,C,0,uninfected,0.742805555555556,10831,0.101258367301148
C_1,BG,3,82580,106314,C,0,uninfected,0.738291666666667,23734,0.223244351637602
C_1,BR,3,97270,107848,C,0,uninfected,0.748944444444444,10578,0.0980824864624286
C_1,GG,3,92223,103474,C,0,uninfected,0.718569444444444,11251,0.108732628486383
C_1,GR,3,90412,126069,C,0,uninfected,0.875479166666667,35657,0.282837176466855
C_1,RB,3,98586,115217,C,0,uninfected,0.800118055555556,16631,0.144345018530252
C_1,RG,3,100373,113317,C,0,uninfected,0.786923611111111,12944,0.114228227009187
C_1,RR,3,96600,106346,C,0,uninfected,0.738513888888889,9746,0.0916442555432268
C_1,BB,4,104535,131411,C,0,uninfected,0.912576388888889,26876,0.204518647601799
C_1,BG,4,112485,123812,C,0,uninfected,0.859805555555556,11327,0.091485477982748
C_1,BR,4,110538,110668,C,0,uninfected,0.768527777777778,130,0.00117468464235371
C_1,GG,4,110533,110803,C,0,uninfected,0.769465277777778,270,0.0024367571275146
C_1,GR,4,108142,111162,C,0,uninfected,0.771958333333333,3020,0.0271675572587755
C_1,RB,4,114553,126576,C,0,uninfected,0.879,12023,0.0949864113260018
C_1,RG,4,110615,110840,C,0,uninfected,0.769722222222222,225,0.00202995308552869
C_1,RR,4,110164,110673,C,0,uninfected,0.7685625,509,0.0045991343868875
C_1,BB,5,111522,115850,C,0,uninfected,0.804513888888889,4328,0.037358653431161
C_1,BG,5,115931,115931,C,0,uninfected,0.805076388888889,0,0
C_1,BR,5,115931,115931,C,0,uninfected,0.805076388888889,0,0
C_1,GG,5,115931,115931,C,0,uninfected,0.805076388888889,0,0
C_1,GR,5,115931,115931,C,0,uninfected,0.805076388888889,0,0
C_1,RB,5,99400,117059,C,0,uninfected,0.812909722222222,17659,0.150855551474043
C_1,RG,5,115931,115931,C,0,uninfected,0.805076388888889,0,0
C_1,RR,5,115931,115931,C,0,uninfected,0.805076388888889,0,0
C_1,BB,6,126450,136925,C,0,uninfected,0.950868055555556,10475,0.0765017345262005
C_1,BG,6,127795,134799,C,0,uninfected,0.936104166666667,7004,0.0519588424246471
C_1,BR,6,128941,135158,C,0,uninfected,0.938597222222222,6217,0.0459980171355007
C_1,GG,6,128605,134605,C,0,uninfected,0.934756944444444,6000,0.0445748672040415
C_1,GR,6,128605,134605,C,0,uninfected,0.934756944444444,6000,0.0445748672040415
C_1,RB,6,126679,137534,C,0,uninfected,0.955097222222222,10855,0.0789259383134352
C_1,RG,6,128618,134639,C,0,uninfected,0.934993055555556,6021,0.044719583478784
C_1,RR,6,128816,135560,C,0,uninfected,0.941388888888889,6744,0.049749188551195
C_10,BB,1,93910,96814,C,0,uninfected,0.672319444444444,2904,0.0299956617844527
C_10,BG,1,96520,98291,C,0,uninfected,0.682576388888889,1771,0.0180179263615184
C_10,BR,1,78031,92325,C,0,uninfected,0.641145833333333,14294,0.15482263742215
C_10,GG,1,81455,93847,C,0,uninfected,0.651715277777778,12392,0.132044711072277
C_10,GR,1,68390,108511,C,0,uninfected,0.753548611111111,40121,0.369741316548553
C_10,RB,1,102834,104282,C,0,uninfected,0.724180555555556,1448,0.0138854260562705
C_10,RG,1,56590,105679,C,0,uninfected,0.733881944444444,49089,0.464510451461501
C_10,RR,1,92372,94136,C,0,uninfected,0.653722222222222,1764,0.0187388459250446
C_10,BB,2,120084,133051,C,0,uninfected,0.923965277777778,12967,0.0974588691554366
C_10,BG,2,125059,130759,C,0,uninfected,0.908048611111111,5700,0.04359164569934
C_10,BR,2,87342,126196,C,0,uninfected,0.876361111111111,38854,0.307886145361184
C_10,GG,2,69764,127930,C,0,uninfected,0.888402777777778,58166,0.454670522942234
C_10,GR,2,94879,118655,C,0,uninfected,0.823993055555556,23776,0.200379250769036
