Colour,ColonyID,Treatment,AssignmentRate,InNestFrame,TotalFrame,InNestRatio,OutNestFrame,OutNestRatio,InfectionStatus,InfectionLoad,ColonyTreatmentAntInfectionStatus
BB,C_1,C,0.790753472222222,640505,683211,0.937492224217701,42706,0.0625077757822986,uninfected,0,C_uninfected
BG,C_1,C,0.8276875,577179,715122,0.80710564071585,137943,0.19289435928415,uninfected,0,C_uninfected
BR,C_1,C,0.742136574074074,627295,641206,0.978304944120922,13911,0.0216950558790778,uninfected,0,C_uninfected
GG,C_1,C,0.729896990740741,619146,630631,0.981788082095552,11485,0.0182119179044481,uninfected,0,C_uninfected
GR,C_1,C,0.81218287037037,613268,701726,0.873942250964052,88458,0.126057749035948,uninfected,0,C_uninfected
RB,C_1,C,0.81887962962963,640195,707512,0.90485391060505,67317,0.0951460893949502,uninfected,0,C_uninfected
RG,C_1,C,0.745956018518519,628286,644506,0.974833438323305,16220,0.0251665616766951,uninfected,0,C_uninfected
RR,C_1,C,0.734184027777778,623341,634335,0.98266846382432,10994,0.0173315361756801,uninfected,0,C_uninfected
BB,C_10,C,0.84897337962963,685842,733513,0.935010013455794,47671,0.0649899865442057,uninfected,0,C_uninfected
BG,C_10,C,0.863378472222222,655797,745959,0.879132767350484,90162,0.120867232649516,uninfected,0,C_uninfected
BR,C_10,C,0.770671296296296,608979,665860,0.914575135914456,56881,0.0854248640855435,uninfected,0,C_uninfected
GG,C_10,C,0.828601851851852,595377,715912,0.831634334946195,120535,0.168365665053805,uninfected,0,C_uninfected
GR,C_10,C,0.816763888888889,578709,705684,0.820068189161154,126975,0.179931810838846,uninfected,0,C_uninfected
RB,C_10,C,0.845024305555556,693008,730101,0.949194700459252,37093,0.0508052995407484,uninfected,0,C_uninfected
RG,C_10,C,0.827064814814815,613539,714584,0.858596050289399,101045,0.141403949710601,uninfected,0,C_uninfected
RR,C_10,C,0.824905092592593,607054,712718,0.851745009947834,105664,0.148254990052166,uninfected,0,C_uninfected
BB,C_2,C,0.773122685185185,641274,667978,0.960022635476019,26704,0.0399773645239814,uninfected,0,C_uninfected
BG,C_2,C,0.733024305555556,613234,633333,0.968264720139326,20099,0.0317352798606736,uninfected,0,C_uninfected
BR,C_2,C,0.703648148148148,585514,607952,0.963092480985341,22438,0.0369075190146591,uninfected,0,C_uninfected
GG,C_2,C,0.837100694444444,564755,723255,0.780851843402396,158500,0.219148156597604,uninfected,0,C_uninfected
GR,C_2,C,0.747074074074074,619527,645472,0.959804608100739,25945,0.0401953918992614,uninfected,0,C_uninfected
RB,C_2,C,0.747597222222222,590054,645924,0.913503755859822,55870,0.0864962441401775,uninfected,0,C_uninfected
RG,C_2,C,0.777078703703704,585713,671396,0.872380830389219,85683,0.127619169610781,uninfected,0,C_uninfected
RR,C_2,C,0.695341435185185,592845,600775,0.986800382838833,7930,0.0131996171611668,uninfected,0,C_uninfected
BB,C_3,C,0.890006944444445,582083,768966,0.756968448539987,186883,0.243031551460013,uninfected,0,C_uninfected
BG,C_3,C,0.852688657407407,727129,736723,0.986977466429038,9594,0.0130225335709622,uninfected,0,C_uninfected
BR,C_3,C,0.845114583333333,682706,730179,0.934984435323393,47473,0.0650155646766067,uninfected,0,C_uninfected
GG,C_3,C,0.852924768518519,647399,736927,0.8785117114721,89528,0.1214882885279,uninfected,0,C_uninfected
GR,C_3,C,0.868449074074074,608530,750340,0.811005677426233,141810,0.188994322573767,uninfected,0,C_uninfected
RB,C_3,C,0.855888888888889,730767,739488,0.9882067051798,8721,0.0117932948202,uninfected,0,C_uninfected
RG,C_3,C,0.80591087962963,622944,696307,0.894639864312724,73363,0.105360135687276,uninfected,0,C_uninfected
RR,C_3,C,0.85221875,704595,736317,0.956918012214848,31722,0.0430819877851523,uninfected,0,C_uninfected
BB,C_4,C,0.825376157407407,642849,713125,0.901453461875548,70276,0.0985465381244522,uninfected,0,C_uninfected
BG,C_4,C,0.867685185185185,636582,749680,0.849138299007577,113098,0.150861700992423,uninfected,0,C_uninfected
BR,C_4,C,0.866125,658688,748332,0.880208249814254,89644,0.119791750185746,uninfected,0,C_uninfected
GG,C_4,C,0.848912037037037,668612,733460,0.911586180568811,64848,0.0884138194311892,uninfected,0,C_uninfected
